name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Lattafa Yara 雅拉女性淡香精,Lattafa 拉塔法 杜拜沙龍香,東方花果調 、 誘人美食調,蘭花、天芥菜、柑橘,美食調、熱帶水果,香草、麝香、檀香,https://www.1976.com.tw/prod/23309
Monotheme Tuberose 吟遊詩人 晚香玉女性淡香水,,東方花香調,椰子、苦橙葉,晚香玉、白色花系,香草、琥珀、雪松,https://www.1976.com.tw/prod/23306
Burberry Her 花與她花漾限定淡香精,一噴上去就是滿滿甜甜的莓果香味啊～喜歡甜調的女孩一定會喜歡這一支！果香很濃厚，到後面才會轉變成微微花香，個人覺得很適合25歲以下活潑可愛俏皮的女孩。,花果甜美調,黑加侖、藍莓、覆盆莓,茉莉、紫羅蘭,琥珀、麝香,https://www.1976.com.tw/prod/23299
Carolina Herrera 212 VIP Rose Elixir 迷醉派對女性淡香精 TESTER,味道完全就跟瓶身的金蔥設計一樣浮誇，要去派對絕對可以穿它出門！整體的氣味非常的甜也帶一點玩味的野，層次鮮明的水果調前味轉為單一的花香調，可以說是前身的派對2.0版本,玫瑰、桃花香調、小蒼蘭,,,香草、廣藿香、麝香,https://www.1976.com.tw/prod/23298
【身體系列】Issey Miyake 三宅一生一生之水海映依蘭極致護手霜,"全新 海映依蘭極致淡香精 與 蔚藍冷杉淡香精
與 聯合國教科文組織 1Ocean 項目合作
用嗅覺潛入深海 置身神祕海洋",花香調,海神草、薑、荳蔻,依蘭依蘭、大馬士革玫瑰,香草,https://www.1976.com.tw/prod/23291
Chloe Cedrus Intense 仙境花園 北國雪松精粹淡香精,香氛的三大核心木質香氣進入演變，北國雪松極致融合了中國雪松、印度沙岩蘭草和澳大利亞檀香。每種木材都展現了各自面貌，將獨特的香氣完美融入其中。,木質花香調 、 皮革香調,佛手柑、小豆蔻,皮革、玫瑰,檀香、雪松、香根草、琥珀,https://www.1976.com.tw/prod/23277
Sarah Jessica Parker Lovely 慾望城市限量版女性淡香精,限量版瓶身，莎拉潔西卡派克慾望城市的愛用者一定要有！,,柑橘、佛手柑、黃檀紅木、薰衣草、馬丁尼酒、蘋果,廣藿香、蘭花、白胡椒,雪松、白琥珀、麝香、木質香、鹽,https://www.1976.com.tw/prod/23274
Ariana Grande Cloud Pink 粉紅雲朵淡香精,一直很想要找甜甜又帶點奶香味的香水，上網搜了好多資料終於決定要買這支香水，外型完全是我的菜，超級美～香味就像是椰子糖，但又不會太過甜膩，是一種很柔軟的香味，喜歡食物味的甜香水一定要買這支，超級推薦！！,誘人美食調 、 花果甜美調,火龍果、野莓、鳳梨,椰子水、香草蘭、黃葵,果仁糖、麝香、琥珀木、苔蘚,https://www.1976.com.tw/prod/23273
Elizabeth Arden 5th Avenue NycVibe 第五大道 紐約風情女性淡香精,靈感源自紐約這座城市的精緻與活力。清新爽口的果香包裹著茉莉的馥鬱花香，尾調則以令人陶醉的白廣藿香收尾。清新明亮，散發著波希米亞式的時尚魅力。,花果甜美調,威廉梨、紅醋栗、油桃,紫羅蘭、小蒼蘭、茉莉、玫瑰,白廣藿香、木質調、椰子水、麝香,https://www.1976.com.tw/prod/23268
Juicy Couture Viva La Juicy Petal Please 花境女性淡香精 TESTER,「花境女性淡香精」承襲Viva La Juicy系列一貫的粉色系元素，粉紅色漸層瓶身加上中間的粉色金屬牌展現貴氣又大膽的樣貌，而細緻之處則展現於帶有粉色寶石的磨砂花吊飾，以及水晶玻璃瓶蓋上注入的深淺色花瓣，充分展現這瓶香氛所帶來的活力樣貌。,玫瑰花香調 、 誘人美食調,睡蓮、漿果、白木蘭,小蒼蘭、埃及茉莉、梔子花、玫瑰水,琥珀、香草、海鹽焦糖,https://www.1976.com.tw/prod/23260
Giorgio Armani My Way Parfum 無畏版女性香精 TESTER,雖然是柑橘花香調，但噴在身上有一股麻古葡萄果粒波波的感覺，應該是苦橙帶出像綠茶的青澀感、晚香玉跟香草營造出甜甜濃郁的香氣，很可愛的味道,木質花香調 、 柑橘花香調,橙花、佛手柑,印度晚香玉、法國香根鳶尾,香草、雪松,https://www.1976.com.tw/prod/23258
D&G The only one Intense 女性淡香精,非常推薦給女人穿這一瓶，性感甜甜的果香味，還帶有一股冷艷，讓人想接近一窺究竟，適合出遊，正式場合也能用，總之百搭啊！,東方花果調,"橙花, 青蘋果、柑橘",茉莉、椰子、橙花,香草、喀什米爾木、雪松,https://www.1976.com.tw/prod/23256
