name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
YSL MYSLF L’Absolu 極鏡淡香精迷你瓶,"1,200",680,7.5ml 抹式,"MYSLF L'ABSOLU，YSL全新推出的濃鬱香水，帶來愉悅感受。
全新鏡面瓶身，全新清爽辛香薑味，系列中 濃度最高的香水。

* 實品為銀色瓶身",木質花香調 、 辛辣調,佛手柑、生薑、荳蔻,橙花、晚香玉,廣藿香、木質調,https://www.1976.com.tw/prod/23302
Versace Eros Najim 凡賽斯愛神星渝男性香精,"5,000","3,750",100ml,凡賽斯 Eros Najim 愛神星渝，宛如一顆閃耀星辰，自中東沙漠的曙光到餘暉，展現無畏與光輝。黃柑橘與香料迸發能量，沉香與雪松堆疊力量，焦糖與零陵香豆釋放迷人柔情，最後沉醉於廣藿香與焚香的神秘深邃。,木質東方調 、 辛辣調,小荳蔻、綠橘、藏紅花、快樂鼠尾草,焦糖、雪松、沉香,廣藿香、香根草、零陵香豆,https://www.1976.com.tw/prod/23295
Messi 梅西同名男性淡香精,"2,400","1,880",100ml 無膠膜,阿根廷球星梅西宣布推出首款個人香水，未來運動科技 × 低調卻自信的男子氣場,木質東方調 、 辛辣調,小荳蔻、蘋果葉、柏樹,皮革、薰衣草、鳶尾根,香草豆、廣藿香、雪松,https://www.1976.com.tw/prod/23275
YSL MYSLF L’Absolu 極鏡淡香精,"5,500","4,350",60ml,"MYSLF L'ABSOLU，YSL全新推出的濃鬱香水，帶來愉悅感受。
全新鏡面瓶身，全新清爽辛香薑味，系列中 濃度最高的香水。

* 實品為銀色瓶身",木質花香調 、 辛辣調,佛手柑、生薑、荳蔻,橙花、晚香玉,廣藿香、木質調,https://www.1976.com.tw/prod/23271
Versace Eau Fraiche Extreme 凡賽斯雲淡風輕男性淡香精版本迷你瓶,800,250,5ml 抹式,Versace 雲淡風輕男性淡香精重新演繹經典男士香氛，清新木質調：檸檬與香料明亮開場，薰草木香沉穩中段，後調麝香迷人悠長。,木質清新調,天竺葵、粉紅胡椒、檸檬,快樂鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23224
Versace Eau Fraiche Extreme 凡賽斯雲淡風輕男性淡香精版本,"3,980","2,980",100ml,Versace 雲淡風輕男性淡香精重新演繹經典男士香氛，清新木質調：檸檬與香料明亮開場，薰草木香沉穩中段，後調麝香迷人悠長。,木質清新調,天竺葵、粉紅胡椒、檸檬,快樂鼠尾草、薰衣草、雪松,雪松、琥珀、麝香,https://www.1976.com.tw/prod/23223
YSL Y Le Parfum 男性香精 (2025),"5,000","3,500",60ml,瓶身設計的很有時尚感， 味道很有層次! 很棒的男士香水!,東方調 、 辛辣調,生薑、白醛香,夜松、乳香,晚香玉、冷杉,https://www.1976.com.tw/prod/23155
Penhaligon's Finley 潘海利根獸首肖像系列 不期而遇的芬利（馬首）淡香精,"10,800","7,980",75ml,,木質東方調 、 辛辣調,小荳蔻、八角茴香、黑胡椒,鹽、開心果、抹茶,紫羅蘭葉、廣藿香、皮革,https://www.1976.com.tw/prod/23151
Marly Pegasus 皮葛舒斯(飛馬)男性淡香精行動香氛,"1,200",799,5ml 抹式,名副其實的誘人香味。既有皇家高貴的感覺又帶有異國氣息。,東方花香調,佛手柑、天芥菜、小茴香,杏仁茉莉、杏仁、薰衣草,琥珀、香草、檀香,https://www.1976.com.tw/prod/23129
Paco Rabanne Invictus parfume 勇者男性香精迷你瓶迷你瓶,800,400,5ml 抹式,Paco Rabanne 的新 INVICTUS PARFUM 將新鮮的薰衣草與性感的黑皂和令人上癮的檀香木結合在一起，為將生活變成傳奇的半神英雄帶來濃鬱的香味。,東方調 、 海洋清新調,海洋調、薰衣草、粉紅胡椒,香皂、紫羅蘭葉、桃金孃,麝香、開司米木、檀香,https://www.1976.com.tw/prod/23103
Viktor & Rolf Spicebomb 激情炸彈男性淡香水迷你瓶,800,499,7ml 抹式,整體造型讓人眼睛為之一亮，創意無限加上極高的質感，香味算是外剛內柔，前味的胡椒及肉桂略為嗆辣，相當符合激情炸彈之名，大約半小時後，香味漸趨柔和，煙燻的番紅花及皮革帶來很溫暖的氛圍，香味的持久度和傳香的表現都蠻優秀噢，天氣冷時穿上這瓶香水再適合不過了！,東方調 、 皮革香調 、 辛辣調,佛手柑、西柚、粉紅胡椒,藏紅花、肉桂、辣椒,皮革、菸草、香根草,https://www.1976.com.tw/prod/23101
Paco Rabanne Ultraviolet 紫外線男性淡香水 TESTER,"3,690","1,450",100ml,身為香草控的我偶然間注意到這款香水就盲買了，而香根草和香草的組合更是讓我著迷不已！開頭的琥珀一點點的酸，給人一種自燃散發的男性魅力，不溫不火，香根草的木質調中和了胡椒辛辣和香草的甜，因此穿上他才不會給人感覺很嗆辣、很甜或者儼然是會走動的一根木頭，總之就是一整個很悶騷內斂的低調男性魅力香。有一次我穿著紫外線上班時，同事經過我身邊說：「怎麼有一種在逛專櫃會聞到的味道」。,草香清新調 、 木質調 、 辛辣調,琥珀、薄荷,香根草、胡椒、辛辣調,苔蘚、香草,https://www.1976.com.tw/prod/23085
YSL MYSLF 男性淡香精行動香氛,"1,200",800,10ml 噴式,雖然被歸類為木質香，卻謹慎的填入了花草香。初味的佛手柑稍微有點刺鼻，但中段的橙花味聞起來像晨露般清甜淡雅不會過分浮誇。進後味的時候橙花跟龍涎香/廣藿香轉換的很精緻，維持了優雅的氣質。整體持香跟闊香都還算不錯，覺得喜歡。,木質花香調,佛手柑,橙花,龍涎香、廣藿香,https://www.1976.com.tw/prod/23067
Paco Rabanne Million Gold Elixir 百萬黃金男性香精迷你瓶,800,480,5ml,"金光閃閃的金條造型瓶身，
承襲百萬系列男香奢華風格之外，
更加濃郁的「報復性」極致誘惑要你加倍自信，強勢回歸！",木質東方調,柑橘,香草,檀香,https://www.1976.com.tw/prod/23063
Ralph Lauren Polo 67 馬球67號男性淡香水 TESTER,"3,650","1,800",125ml 原廠環保紙盒包裝，有瓶蓋,Polo 67 男性淡香水，結合了新鮮的柑橘和溫暖的木質香調，創造出強烈而無可否認的陽剛氣息。 Polo EST 透過精選的卡拉布里亞佛手柑、鳳梨香調和泥土香根草的香氣散發出清新氣息。,佛手柑、水生香調、薰衣草,,鳳梨、天竺葵、葵花籽、快樂鼠尾草,香根草、檀香、廣藿香,https://www.1976.com.tw/prod/23029
