note,class
琥珀,东方调
香草,东方调
零陵香豆,东方调
焚香/乳香,东方调
岩蔷薇/赖白当,东方调
安息香,东方调
没药,东方调
榄香脂,东方调
香草（马达加斯加）,东方调
香草（波旁岛）,东方调
冷杉香脂,东方调
红没药,东方调
香脂（秘鲁）,东方调
香醋香调,东方调
妥鲁香脂,东方调
香豆素（零陵香豆香调）,东方调
安息香（暹罗）,东方调
树脂,东方调
古芸香脂,东方调
苦配巴香脂/古巴香脂,东方调
安息香（老挝）,东方调
焚香（索玛利亚）,东方调
香草（大溪地）,东方调
香草醛（香草香调）,东方调
龙涎香苯乙烯,东方调
安息香（苏门答腊岛）,东方调
香草（墨西哥）,东方调
盐琥珀,东方调
天鹅绒香调,东方调
Tonkalactone,东方调
香草（香荚兰）,东方调
干琥珀,东方调
柯巴脂,东方调
生橡胶,东方调
龙涎香脂,东方调
Loewe 香调,东方调
贝鲁树脂,东方调
香醋香调,东方调
草木犀,东方调
海盐香草,东方调
Kyphi Accord,东方调
格思龙葵骨,东方调
焚香（中国）,东方调
Ambre 83 de Laire,东方调
香草（塔希提香草兰）,东方调
Mystikal (Incense note),东方调
White Vanilla,东方调
Invictus Incense,东方调
焚香（摩洛哥）,东方调
香草（乌干达）,东方调
香草利口酒,东方调
印度乳香,东方调
Blue Vanilla,东方调
Vanilla Dries Van Noten,东方调
Invictus Tonka Bean,东方调
Zukoh,东方调
檀香,木质香调
雪松,木质香调
香根草,木质香调
木质香调,木质香调
乌木/沉香木,木质香调
开司米酮（木调麝香）,木质香调
愈疮木,木质香调
龙涎香型,木质香调
降龙涎香醚（龙涎香型）,木质香调
干膜莎草/印度香附子,木质香调
香根草（海地）,木质香调
雪松（弗吉尼亚）,木质香调
琥珀木,木质香调
雪松（阿特拉斯）,木质香调
Ambrox（龙涎香）,木质香调
檀香（澳大利亚）,木质香调
纸莎草,木质香调
木调琥珀香调,木质香调
橡树,木质香调
浮木,木质香调
阿米香树,木质香调
干燥木质,木质香调
檀香（印度）,木质香调
檀香（迈索尔）,木质香调
柚木,木质香调
威士忌,木质香调
干邑白兰地,木质香调
黑檀,木质香调
龙涎酮（雪松香调）,木质香调
香根草（爪哇岛）,木质香调
乌木（老挝）,木质香调
Orcanox（龙涎香）,木质香调
雪松（德克萨斯）,木质香调
桃花心木,木质香调
日本扁柏木,木质香调
檀香（新喀里多尼亚）,木质香调
Ambrofix（龙涎香）,木质香调
绿檀木,木质香调
烟熏树木,木质香调
雪松（黎巴嫩）,木质香调
香根草（波旁岛）,木质香调
红杉,木质香调
极致龙涎（木调琥珀香）,木质香调
帝王龙涎（木调琥珀香）,木质香调
乌木（柬埔寨）,木质香调
Georgywood（雪松香调）,木质香调
左旋龙涎醚/龙涎呋喃（龙涎香型）,木质香调
雪松（中国）,木质香调
橄榄树,木质香调
汤力琥珀（木调琥珀香）,木质香调
喀什米尔木,木质香调
柠檬树,木质香调
Dreamwood (檀香),木质香调
Ambrostar (木调琥珀香),木质香调
Pepperwood,木质香调
雪松（阿拉斯加）,木质香调
Lorenox（龙涎香）,木质香调
白兰地,木质香调
檀香（印度尼西亚）,木质香调
红檀香,木质香调
乌木（罗望子）,木质香调
Norlimbanol（木调琥珀香）,木质香调
橘树,木质香调
枫树,木质香调
雪松（美国）,木质香调
香根草（印尼）,木质香调
Ambermax（木调琥珀香）,木质香调
雪松（喜马拉雅）,木质香调
蓝花楹,木质香调
香根草（印度）,木质香调
黄杨木,木质香调
Operanide（木调琥珀香）,木质香调
Belambre（木调琥珀香）,木质香调
芳香薄荷,木质香调
杏树,木质香调
苹果树,木质香调
异域树木,木质香调
铁木（角树）,木质香调
Javanol（檀香）,木质香调
湿材,木质香调
树皮,木质香调
加菲力士（木质香调）,木质香调
纸,木质香调
Timbersilk（雪松香调）,木质香调
檀香（斯里兰卡）,木质香调
樱桃树,木质香调
Ambrinol（龙涎香）,木质香调
棉白杨/杨树,木质香调
金合欢树,木质香调
葡萄柚树,木质香调
Limbanol（木调琥珀香）,木质香调
粘土,木质香调
Buaya Laos,木质香调
Karmawood,木质香调
Z11（木调琥珀香）,木质香调
Milkwood,木质香调
Cachalox (Ambergris),木质香调
林木（木质音符）,木质香调
佛陀木,木质香调
圣诞树/凤凰木,木质香调
美国梧桐,木质香调
Kingwood,木质香调
Queenwood,木质香调
烧焦香调,木质香调
Karanal（木调琥珀香）,木质香调
Santamanol（檀香）,木质香调
香根草（留尼旺岛）,木质香调
疗伤木（广藿香味）,木质香调
Sandalore （檀香）,木质香调
李子树,木质香调
白柳树,木质香调
树木（巴西）,木质香调
核桃木,木质香调
Timberol（雪松香调）,木质香调
Ebanol（檀香）,木质香调
Dextramber® (Woody Ambery),木质香调
山毛榉,木质香调
梨树,木质香调
柳条,木质香调
银杏,木质香调
雪松（秘鲁）,木质香调
罗汉柏,木质香调
檀香（埃及）,木质香调
Tobacarol（木质琥珀）,木质香调
Cedramber（雪松香调）,木质香调
Vinyl Guaiacol,木质香调
乌木（印度）,木质香调
米蒂花油,木质香调
乌木（泰国）,木质香调
马卡萨木,木质香调
Okoumal（木调琥珀香）,木质香调
涂蜡地板香调,木质香调
檀香（马达加斯加）,木质香调
