note,count,class
佛手柑,611,
白麝香,181,
龙涎香,129,
鼠尾草,128,
黑醋栗,114,
小荳蔻,107,
檀香木,90,
荳蔻,85,
生姜,79,
檀木,75,
乳香,68,
橡苔,59,
雪松木,58,
肉荳蔻,53,
凤梨,49,
鸢尾,47,
保加利亚玫瑰,47,
焚香,44,
烟草,44,
土耳其玫瑰,44,
木质调,42,
岩兰草,42,
青苹果,40,
木兰花,39,
劳丹脂,36,
梨子,35,
香菜,34,
西洋梨,34,
含羞草,34,
海地香根草,33,
东加豆,32,
愈创木,31,
依兰依兰,30,
鸢尾草,30,
义大利佛手柑,28,
降龙涎香醚,26,
沉香,26,
丝柏,24,
沙巴茉莉,24,
薰香,23,
粉红葡萄柚,23,
忍冬,22,
西洋杉,22,
橡树苔,22,
胡荽,21,
橡木,21,
白琥珀,21,
莱姆,20,
橙,19,
乌木,19,
鸢尾根,18,
夜来香,17,
龙涎香醚,17,
顿加豆,17,
西西里柠檬,16,
覆盆莓,16,
牡丹花,16,
木质香,16,
玉兰花,16,
岩蔷薇,16,
印尼广藿香,16,
薰草豆,16,
荷花,15,
茉莉花瓣,15,
白雪松,15,
马鞭草,14,
小茴香,14,
卡拉布里亚佛手柑,14,
柳橙,14,
辛香料,14,
海盐,14,
甜豌豆,14,
黄葵籽,14,
豆蔻,13,
蜜桃,13,
水梨,13,
椰子水,13,
麝香锦葵,13,
柏木,13,
双瓣茉莉,13,
义大利柠檬,12,
绒面革,12,
白桃,12,
粉红牡丹,12,
白牡丹,12,
马达加斯加香草,12,
羊绒木,12,
玫瑰花,12,
黄金木,12,
木质元素,12,
西西里柑橘,11,
玫瑰木,11,
木香,11,
杏桃,11,
花梨木,11,
四川花椒,11,
山谷百合,11,
白玫瑰,11,
烟叶,11,
香草兰,11,
喀什米尔麝香,11,
零陵香木,11,
香橙,10,
义大利柑橘,10,
龙蒿,10,
五月玫瑰,10,
水蜜桃,10,
果香,10,
桃,10,
野玫瑰,10,
白木,10,
香柏木,10,
喀什米尔,10,
八角茴香,9,
海藻,9,
酸橙,9,
月桂叶,9,
玉兰,9,
槴子花,9,
岩玫瑰,9,
阿特拉斯雪松,9,
埃及茉莉,9,
香脂,9,
Akigalawood,9,
白广藿香,9,
珍木,9,
绿橘,8,
柑桔,8,
艾蒿,8,
檀木香,8,
橙花醇,8,
榄香,8,
香柏,8,
木质,8,
醛香,8,
洋梨,8,
红浆果,8,
伊兰伊兰,8,
白花,8,
红玫瑰,8,
青苔,8,
香草兰花,8,
格拉斯玫瑰,8,
野百合,8,
香草豆,8,
大吉岭茶,7,
盐,7,
广霍香,7,
金桔,7,
丝柏木,7,
姜黄,7,
万寿菊,7,
肉桂皮,7,
哈密瓜,7,
野草莓,7,
梅花,7,
Petalia,7,
苦杏仁,7,
尤加利,7,
百合花,7,
弗吉尼亚雪松,7,
蜡菊,7,
印度晚香玉,7,
沉香木,7,
莎草,7,
漂流木,7,
秘鲁香脂,7,
青柑橘,6,
橙花精油,6,
肉荳蔻核仁,6,
绿梨,6,
艾草,6,
四川胡椒,6,
黑醋栗芽,6,
兰姆酒,6,
水元素,6,
薄荷叶,6,
蜜橘,6,
野蔷薇,6,
水茉莉,6,
紫檀,6,
大溪地香草,6,
奶油,6,
白芷,6,
香橙花,6,
印度茉莉,6,
桃花木,6,
摩洛哥玫瑰,6,
黑檀木,6,
印度檀香,6,
黑香豆,6,
杜松果,5,
小黄瓜,5,
臭氧,5,
奈若利橙花,5,
粉色胡椒,5,
奇异果,5,
鲜橙,5,
水生薄荷,5,
香料,5,
乙醛,5,
青草,5,
杏仁牛奶,5,
青柑,5,
紫藤花,5,
水晶麝香,5,
野生草莓,5,
小红莓,5,
青橘,5,
白色花香,5,
野姜花,5,
佛罗伦斯鸢尾花,5,
醛类,5,
沈香,5,
玛黛茶,5,
杜松浆果,5,
熏香,5,
老鹤草,5,
柑橘花,5,
维吉尼亚雪松,5,
绿胡椒,5,
老鹳草,5,
埃及天竺葵,5,
香根,5,
巴西玫瑰木,5,
波本香草,5,
覆盆子花,5,
波旁香草,5,
香子兰,5,
忍冬花,5,
月下香,5,
IsoESuper,5,
白檀木,5,
暹罗安息香,5,
香木缘,4,
莞荽,4,
香梨,4,
香芹籽,4,
新鲜葡萄柚,4,
苦橙花,4,
花椒,4,
海洋微风,4,
莓果,4,
中国柑桔,4,
绿草,4,
榛果,4,
Paradisone,4,
粉红佳人苹果,4,
翠玉苹果,4,
梨子雪酪,4,
红石榴,4,
樱草属植物,4,
蕃茄,4,
白茉莉,4,
义大利柑橘精油,4,
肉桂树,4,
黑紫罗兰,4,
甜桃,4,
铃兰花,4,
龙胆,4,
梅子,4,
红橘,4,
土耳其小豆蔻,4,
喜马拉雅雪松,4,
sclarene分子,4,
红海藻,4,
白苍兰,4,
白色紫罗兰,4,
波旁香根草,4,
松树,4,
法国香根鸢尾,4,
香草精油,4,
紫色小苍兰,4,
香草鱼子酱,4,
蓝玫瑰,4,
保加利亚玫瑰精油,4,
曼陀罗花,4,
红牡丹,4,
百叶蔷薇,4,
芙蓉,4,
松露,4,
天芥,4,
开司米木香,4,
奶油麝香,4,
夹竹桃花,4,
玫瑰精华,4,
粉红糖,4,
海地岩兰草,4,
透明琥珀,4,
岩兰草精油,4,
广藿香精华,4,
琥珀木质调,4,
白色森林,4,
龙涎酮,4,
零陵香,4,
白苔,4,
琥珀子,4,
性感木质香,4,
安息香脂,4,
希蒂莺,4,
彩戈素,4,
红雪松,4,
南欧丹参,3,
西柚,3,
Calypsone,3,
义大利柑橘皮,3,
清新空气,3,
白豆蔻,3,
黄梨,3,
白柠檬,3,
红葡萄柚,3,
苦艾油,3,
西西里岛柑橘,3,
黑柠檬,3,
柠檬油,3,
莲花叶,3,
乙酸香根草酯,3,
橡木苔藓,3,
波旁胡椒,3,
松香,3,
柑橘调,3,
松木,3,
山胡椒,3,
橙皮,3,
竹叶,3,
胡椒木,3,
蓝色薰衣草,3,
海神草,3,
威廉梨,3,
野生黑莓,3,
绿叶汁液,3,
中国柑橘,3,
鹿尾草,3,
神秘果,3,
义大利莱姆,3,
塞维尔苦橙,3,
粉色牡丹,3,
格拉斯玫瑰原精,3,
大马士革玫瑰原精,3,
绿芒果,3,
埃及橙花,3,
莱姆酒,3,
红橙,3,
巴西花梨木,3,
布拉斯李,3,
榅桲,3,
蜜梨,3,
杏子,3,
大溪地栀子花,3,
玫瑰花苞,3,
西西里岛柠檬,3,
多汁水果,3,
牙买加水果Nesberry,3,
西西里岛柠檬叶,3,
绿色紫丁香,3,
巴马紫罗兰,3,
野生山楂,3,
埃及茉莉精华,3,
黑松露,3,
紫色鸢尾花,3,
小柑橘,3,
贝里尼,3,
苦橙精华,3,
巴西绿柑橘精华,3,
埃及黑醋栗,3,
伊兰树,3,
粉红小苍兰,3,
水百合,3,
有机柑橘,3,
紫苏,3,
新鲜凤梨,3,
苏合香,3,
秘鲁圣木,3,
墨西哥莱姆,3,
英格兰薄荷,3,
山鸡椒,3,
蓝水百合,3,
辛辣调,3,
阿基加拉木,3,
西洋杉针叶,3,
法国橙花,3,
蓝风信子,3,
丝柏树,3,
玫瑰天竺葵,3,
大西洋雪松,3,
岩石,3,
水生调,3,
板栗,3,
爪哇香根草,3,
橙子花,3,
番木瓜,3,
川椒,3,
椰子木,3,
红椒,3,
爪哇和海地的香根草,3,
水生气息,3,
黑色香草,3,
桧木,3,
西杉木,3,
白色覆盆子,3,
kyphi,3,
棕榈花,3,
保加利亚玫瑰花蕾,3,
玫瑰花蕾,3,
纯香草,3,
艾荞,3,
Hedione,3,
蝴蝶百合,3,
糖渍姜,3,
甜杏仁,3,
义大利柑橘香精,3,
芦笔管,3,
尼罗河睡莲,3,
大马士革玫瑰精油,3,
浅粉玫瑰,3,
