name,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Guerlain Rosa Verde 嬌蘭花草水語 夏沁玫瑰淡香水,黃瓜清新的水生氣息令人欲罷不能，不禁聯想到肌膚浸入水中的清新震撼。玫瑰隨後綻放溫柔氣息，彷彿愉悅的浪潮陣陣席捲水中的身軀。清脆的梨子香調昇華活力盎然的綠意花卉組合，在一抹白麝香香調的襯托之下倍顯柔和。,白麝香、西普香調、鳶尾花,小黃瓜、薄荷、佛手柑,玫瑰、紫羅蘭、梨子,,https://www.1976.com.tw/prod/23308
Monotheme Verbena 吟遊詩人 檸檬馬鞭草淡香水,檸檬馬鞭草香氣展現力量，中調是來自地中海的細緻白花與最大膽的綠色香氣的活力相遇，香根草、琥珀和麝香的巧妙基調將這款嗅覺創作與感性的感官感受融為一體。,白花香調,檸檬馬鞭草,,香根草、琥珀、麝香,https://www.1976.com.tw/prod/23307
Monotheme Honeysuckle 植然忍冬中性淡香水,"發想源自在漫步自然的恩典
優雅地融合了散發柔和光芒
自然中感受的濃鬱自然芬多精",花香調,橙花、佛手柑、苦橙葉,忍冬、茉莉,香草蘭花、雪松、黃葵,https://www.1976.com.tw/prod/23305
Serge Lutens La Fille de Berlin 蘆丹氏 柏林少女淡香精迷你瓶,很喜歡的一支玫瑰香水，是那種乾燥的紅玫瑰配合天竺葵的香氣，有帶著麥芽話梅糖的酸甜，留在最後的廣藿香夾雜蜂蜜，有脂粉感卻不濃艷。,玫瑰花香調 、 東方花香調,玫瑰、天竺葵,玫瑰草,廣藿香、橡木苔、蜂蜜,https://www.1976.com.tw/prod/23304
Maison Margiela Untitled 無題淡香精,（無題）是一款獨特的男女皆宜的香水，彷彿描繪了春日清晨鄉村田園的清新綠意。,草香清新調 、 花香調,白松香、黃連木、苦橙花,樹脂、茉莉花、焚香,白麝香、雪松、香樹脂,https://www.1976.com.tw/prod/23303
Jo Malone 黑白配輕巧香氛組,來自 Jo Malone 暢銷的香水，香水1976 特別推出Jo Malone 黑白配輕巧香氛組 — 一瓶熱銷系列小香水加 芳醇香水系列小香水，組合內容以購物車顯示為主，讓你透過香氛糅合，自創你專屬的頂級香氛美學！,花果清新調,,,,https://www.1976.com.tw/prod/23300
Tom Ford Oud Minerale 海洋烏木淡香精,Tom Ford Oud Minerale 海洋烏木淡香精 將濃鬱的沈香氣息與清爽的海洋礦物感完美融合。,粉紅胡椒、沈香、安息香、龍涎香調、冷杉香脂、海洋調,,,,https://www.1976.com.tw/prod/23296
Penhaligon's 潘海利根 香氛圖書館獸首肖像禮盒,物超所值的組合，每天在家嘗試不同的沙龍饗宴，讓自己沈浸在高檔香氛的療癒氣息之中，高貴的潘海利根就是要慢慢試出最喜歡的款式,,,,,https://www.1976.com.tw/prod/23294
Diptyque Fleur de Peau 肌膚之華中性淡香水,鳶尾花的粉質優雅與木蘭和麝香的柔和交融，展現出一種明亮而芬芳的花香，宛如純淨的氣息。誠摯邀請您開啟通往永恆結合的傳奇之旅。,木質花香調,粉紅胡椒、柑橘,鳶尾花、木蘭,白麝香、黃葵,https://www.1976.com.tw/prod/23293
Adidas Happy Feels 愛迪達快樂宣言淡香精,2024年 推出的Adidas Happy Feels 愛迪達快樂宣言淡香精，體驗探索大自然時，那種神清氣爽、無拘無束的感受，薄荷和雪松木的清爽香氣，如同重回自然的懷抱。,柑橘花香調,葡萄柚、粉紅胡椒,鈴蘭、茉莉,雪松、麝香,https://www.1976.com.tw/prod/23292
